区站号,平均气温,最高气温,最低气温,平均相对湿度,最小相对湿度,平均气压,最高本站气压,最低本站气压,平均2分钟风速,极大风速,20-20时降水量,日,月,年,纬度,经度,测站高度,站名,省名,地市名,区县名,Unnamed: 23
56285,11.7,18.8,7.6,90,59,956.7,960.1,953.1,1,3.3,0,23,11,2023,30.5639,103.4653,544.7,大邑国家基本气象站,四川省,成都市,大邑县,999999 未编报缺测
56443,5.7,13.4,0.7,62.5,18,726.1,728.9,723.2,2.2,8.3,0.1,23,11,2023,28.9369,99.8031,2844.2,乡城,四川省,甘孜藏族自治州,乡城县,
56459,9.8,16.8,6.2,68.8,37,768.6,770.7,766.2,1.7,13.4,0.9,23,11,2023,27.9294,101.275,2376.4,木里,四川省,凉山彝族自治州,木里藏族自治县,
56475,12.2,21.6,8,72,33,836.3,839.4,833.5,0.9,5.4,0,23,11,2023,28.6506,102.5119,1658.1,越西,四川省,凉山彝族自治州,越西县,
56494,15,20.1,11.2,82.8,60,974.5,978.7,970.5,1.1,4.5,0,23,11,2023,28.8394,104.3325,386.4,屏山,四川省,宜宾市,屏山县,
56575,14.8,21.4,10.2,63,39,850.8,853.4,848.3,1.1,4.5,0,23,11,2023,27.3731,102.5478,1514.6,普格,四川省,凉山彝族自治州,普格县,
56674,16.1,24.9,10.7,66.5,35,873.5,876.9,870.6,1.8,5.1,0,23,11,2023,26.495,101.7503,1280.6,仁和国家气象观测站,四川省,攀枝花市,仁和区,
56196,14,20.9,9.9,72,39,959.5,962.4,955.7,1.4,4.7,0,23,11,2023,31.4403,104.7264,521.1,绵阳气象站,四川省,绵阳市,涪城区,
56493,14.9,21.3,10.3,86.5,54,985.2,989.4,981.2,0.8,3.7,0,23,11,2023,28.8492,104.9725,292.8,南溪,四川省,宜宾市,南溪区,
56580,6.3,13.2,2.9,80,53,758.8,760.7,757,1.6,8.9,5.1,23,11,2023,27.7231,102.8094,2479.8,布拖,四川省,凉山彝族自治州,布拖县,
57605,14.2,20.4,10.3,82.8,53,957.5,960.8,954.4,0.9,4.4,0,23,11,2023,28.0397,105.8122,537.7,古蔺,四川省,泸州市,古蔺县,
56280,12.1,16.4,8.3,86.5,66,940.5,944.3,936.9,0.7,2.7,0,23,11,2023,30.0844,103.1167,691.8,名山,四川省,雅安市,名山区,
