区站号,平均气温,最高气温,最低气温,平均相对湿度,最小相对湿度,平均气压,最高本站气压,最低本站气压,平均2分钟风速,极大风速,20-20时降水量,日,月,年,纬度,经度,测站高度,站名,省名,地市名,区县名,Unnamed: 23
56281,17.4,24.6,11.1,56,27,954.7,957.2,951.9,2,5.7,0,2,5,2022,30.2003,103.4892,578.4,蒲江,四川省,成都市,蒲江县,
56384,17.4,24.8,10.8,65.8,23,972.6,975.1,969.5,0.8,6.6,0,2,5,2022,29.595,103.5906,423.5,峨眉,四川省,乐山市,峨眉山市,
56399,18.4,26.2,13.1,63,27,986.2,988.8,983.1,0.9,3.9,0,2,5,2022,29.1839,104.9942,306.4,富顺,四川省,自贡市,富顺县,
57204,14.6,25.5,6.7,62.5,15,932.3,934.8,929,0.7,7.1,0,2,5,2022,32.5739,105.2233,782.9,青川,四川省,广元市,青川县,
57308,17.3,24.8,10.2,61.8,28,972.3,974.9,969.6,1,4.7,0,2,5,2022,31.2206,105.3861,421.3,盐亭,四川省,绵阳市,盐亭县,
57320,16,25.7,8.7,69,23,965.4,967.8,961.9,1.5,5.1,0,2,5,2022,31.9281,107.2167,483,通江,四川省,巴中市,通江县,
56280,16.6,24.6,10.7,52.3,21,942.5,945.2,939.4,1.3,6.2,0,2,5,2022,30.0844,103.1167,691.8,名山,四川省,雅安市,名山区,
56371,13.1,19.9,6.9,59.5,29,864.4,867.2,860.7,2,8.2,0,2,5,2022,29.8878,102.2131,1403.2,泸定,四川省,甘孜藏族自治州,泸定县,
56487,9.8,17,4.5,60.3,30,811.6,813.5,808.7,1,8.2,0.7,2,5,2022,28.335,103.1342,1913.3,美姑,四川省,凉山彝族自治州,美姑县,
56499,16.6,24,11.6,60.8,26,963.8,966.7,960.7,1.8,5.9,0,2,5,2022,28.4453,104.7128,508,珙县,四川省,宜宾市,珙县,
56569,15,21.6,10.5,67.8,31,866.8,869,863.5,1.6,9.8,0.1,2,5,2022,27.4131,102.1842,1347.2,德昌,四川省,凉山彝族自治州,德昌县,
57206,17.2,26.6,7.5,46.5,15,958.1,960.9,954.4,1.8,7.6,0,2,5,2022,32.4244,105.8997,545.4,广元,四川省,广元市,利州区,
57324,16.8,26.2,10.1,70.3,29,978.8,981.3,975.2,1.3,4.3,0,2,5,2022,31.5833,107.0881,365.9,平昌,四川省,巴中市,平昌县,
57401,16.8,24.9,10.2,74,30,976.8,979.3,974.2,1.3,4,0,2,5,2022,30.8775,105.3669,383.2,射洪站,四川省,遂宁市,射洪市,
57415,17.8,24.3,12.5,69.8,35,978.3,980.7,975.4,2.1,5.3,0,2,5,2022,30.5219,106.6403,372.3,广安,四川省,广安市,广安区,
56374,4.3,9.5,0.9,78,50,749.1,751.3,746.8,2.8,14.1,3,2,5,2022,30.055,101.9606,2606.3,康定,四川省,甘孜藏族自治州,康定市,
57313,16.7,24.3,9.5,58,20,957.2,959.5,954.2,2,5.7,0,2,5,2022,31.8872,106.785,556.7,巴中,四川省,巴中市,巴州区,
57503,17.8,25.5,11.5,68.5,31,981.3,983.7,978.2,1.3,5,0,2,5,2022,29.6197,105.1186,349.9,东兴区,四川省,内江市,东兴区,
56186,16.8,24.5,9.6,61,23,953.4,955.9,951.2,0.8,3.8,0,2,5,2022,31.3272,104.1928,588.9,绵竹,四川省,德阳市,绵竹市,
56190,17.1,25.3,9.8,62,19,959.4,962.1,957,1.3,5.4,0,2,5,2022,31.5369,104.5842,534.7,安州,四川省,绵阳市,安州区,
56194,17.1,24.6,10.7,61,24,952.4,955,950,1.8,6.7,0,2,5,2022,31.6256,104.4514,597,北川,四川省,绵阳市,北川羌族自治县,
56272,16.1,25.2,8.8,68.8,24,957,959.3,954.4,1.5,5.8,0,2,5,2022,30.8289,103.8986,558.6,郫都,四川省,成都市,郫都区,
56498,16.5,24.7,11.4,65.8,24,959.4,962.5,955.8,1.6,5.6,0,2,5,2022,28.1542,104.5042,547,筠连,四川省,宜宾市,筠连县,
57216,17,25.4,8.7,48,17,954.3,956.7,950.7,1.3,7.5,0,2,5,2022,32.3558,106.8325,579.4,南江,四川省,巴中市,南江县,
57413,18.7,25.3,13.6,69.8,42,986.1,988.4,983,1.6,4.8,0,2,5,2022,30.8564,106.9983,305.7,渠县,四川省,达州市,渠县,
56144,6.8,14.5,0.3,30.3,12,690.9,693.8,686.7,1.5,7.7,0,2,5,2022,31.8033,98.5764,3224.6,德格基本气象站,四川省,甘孜藏族自治州,德格县,
56285,15.6,25.4,8.4,65.8,20,958.4,960.9,955.7,1.3,5.6,0,2,5,2022,30.5639,103.4653,544.7,大邑国家基本气象站,四川省,成都市,大邑县,
56443,13.4,19.4,6.5,41.5,20,720.4,722.6,715.7,3.7,11,0,2,5,2022,28.9369,99.8031,2844.2,乡城,四川省,甘孜藏族自治州,乡城县,
56459,10.5,15.2,6.9,56,36,768.3,770.1,765.9,1.9,7.4,0,2,5,2022,27.9294,101.275,2380.8,木里,四川省,凉山彝族自治州,木里藏族自治县,
56475,12.2,17.7,7.2,49,21,840.4,842.7,836.9,2,8.7,0,2,5,2022,28.6506,102.5117,1659.3,越西,四川省,凉山彝族自治州,越西县,
56494,17.7,25.3,11.8,62.3,22,976.8,979.7,973.8,1.5,5,0,2,5,2022,28.8394,104.3325,386.4,屏山,四川省,宜宾市,屏山县,
56575,11.6,16.3,8.1,68,37,854,855.9,851.3,1.2,5.7,0.3,2,5,2022,27.3731,102.5478,1530.7,普格,四川省,凉山彝族自治州,普格县,
56674,14.9,21.1,10.4,68.8,37,877.4,879.9,873.4,1.4,5.6,4.7,2,5,2022,26.495,101.7503,1280.6,仁和国家气象观测站,四川省,攀枝花市,仁和区,
56592,17.8,25.3,12.3,66.5,27,978.5,981.8,975,1.2,5.7,0,2,5,2022,28.4406,104.5036,376.4,高县,四川省,宜宾市,高县,
57328,17.8,24.8,11.7,65,33,981.4,984,977.9,1.4,5.6,0,2,5,2022,31.2075,107.5067,344.9,达川,四川省,达州市,达川区,
57411,17.6,24.1,12.6,69,38,981.1,983.6,978.3,1.9,5.7,0,2,5,2022,30.7456,106.1319,347,高坪,四川省,南充市,高坪区,
57414,17.6,23.7,12,74,38,974.9,977.3,972.1,1.7,5.6,0,2,5,2022,30.5178,106.4544,403.3,岳池,四川省,广安市,岳池县,
57417,18.3,24.6,13.2,67.5,33,984.9,987.4,981.9,1.9,4.4,0,2,5,2022,30.3514,106.2936,316,武胜,四川省,广安市,武胜县,
57508,17.8,25.4,12,62.5,25,986.9,989.6,983.6,1.4,5.5,0,2,5,2022,29.16,105.3814,301.8,泸县,四川省,泸州市,泸县,
57603,16.6,24.7,11,71.5,30,989.2,992.3,985.9,1.3,4.3,0.1,2,5,2022,28.8111,105.8272,282.7,合江,四川省,泸州市,合江县,
56193,15.3,24.4,8.5,58,19,920.7,923.3,917.5,2.1,10.2,0,2,5,2022,32.4114,104.5222,891.9,平武县城,四川省,绵阳市,平武县,
56247,15.3,23.9,6.7,31.3,9,742.3,746.3,738.1,2,7.6,0,2,5,2022,30.0028,99.1078,2580.5,巴塘,四川省,甘孜藏族自治州,巴塘县,
56251,9.1,16.5,3.7,31.5,11,698.3,701.4,694.1,2.8,11.7,0,2,5,2022,30.9422,100.3089,3131.1,新龙,四川省,甘孜藏族自治州,新龙县,
56296,17.9,25.5,12.1,53.3,26,964.1,966.6,961.5,1.3,5.8,0,2,5,2022,30.8128,104.4253,493.5,金堂,四川省,成都市,金堂县,
56382,17.2,25.5,10.2,61.3,19,966.8,969.2,963.9,0.7,5.8,0,2,5,2022,29.7533,103.5522,475,夹江,四川省,乐山市,夹江县,
56441,18.1,24.9,11.8,34,17,757.9,761.5,753.2,1.6,8.2,0,2,5,2022,28.7136,99.2864,2411.5,得荣,四川省,甘孜藏族自治州,得荣县,
56496,16.5,25.1,11.3,75,32,979.9,983.1,976.3,1.5,5,0,2,5,2022,28.3303,105.2589,367,兴文,四川省,宜宾市,兴文县,
57402,18.3,25,12.2,63.5,33,976.5,979,973.8,1.1,4.4,0,2,5,2022,30.7728,105.7053,386.5,蓬溪,四川省,遂宁市,蓬溪县,
56152,-0.6,6.3,-7.4,48,14,636.9,638.3,635.3,3.5,13.9,0,2,5,2022,32.275,100.3339,3898.7,色达,四川省,甘孜藏族自治州,色达县,
56167,8.5,15.9,2.6,45.3,14,709.4,712.1,705.8,4.6,14.7,0,2,5,2022,30.9714,101.1186,3008.6,道孚,四川省,甘孜藏族自治州,道孚县,
56185,6.5,11.8,3.2,74.8,36,767.8,769.3,765.3,1.7,11.6,0,2,5,2022,32.08,102.98,2399.4,黑水,四川省,阿坝藏族羌族自治州,黑水县,
56038,-2.4,5,-9.1,41.5,16,615.2,617.1,612.1,2.5,13.7,0,2,5,2022,32.9764,98.0969,4181.2,石渠,四川省,甘孜藏族自治州,石渠县,
56079,-2,3.8,-6.7,60,26,669.2,670.2,668,3.3,21.2,0,2,5,2022,33.5944,102.9556,3513.8,若尔盖,四川省,阿坝藏族羌族自治州,若尔盖县,
56147,8.4,18.3,-0.4,32.5,9,703.6,707.2,698.2,2.6,10.7,0,2,5,2022,31.2117,98.8258,3063.8,白玉,四川省,甘孜藏族自治州,白玉县,
56584,16.5,24.1,11.3,52,22,898.4,901.1,894.5,1.5,4.8,0,2,5,2022,27.705,103.2567,1061.9,金阳,四川省,凉山彝族自治州,金阳县,
56666,15.2,21,10.4,69.5,40,883.1,885.8,879.2,1.5,4.9,6.6,2,5,2022,26.5761,101.7211,1224.8,攀枝花,四川省,攀枝花市,攀枝花市,
56188,16.2,24.6,7.7,58.8,22,942.6,944.8,940.4,2.1,7.1,0,2,5,2022,30.9958,103.6736,689.1,都江堰,四川省,成都市,都江堰市,
56189,17.4,25.3,10.4,56.5,19,954.3,956.7,951.8,1.2,7.2,0,2,5,2022,30.9622,103.9464,580.5,彭州,四川省,成都市,彭州市,
56197,17.1,25.1,9.8,57.3,23,959.4,962,957,1.5,4.1,0,2,5,2022,31.1517,104.1669,535.8,什邡,四川省,德阳市,什邡市,
56297,18.5,25.8,12.3,52.3,21,971,973.4,968.1,1,5.8,0,2,5,2022,30.0425,104.1392,435.4,仁寿国家气象观测站,四川省,眉山市,仁寿县,
56257,4.4,9.2,0.4,61,34,630.8,632.7,628.1,2.3,9.6,0,2,5,2022,29.9944,100.2708,3950,理塘国家气象站,四川省,甘孜藏族自治州,理塘县,
56287,17.7,25.1,12.3,52,20,950.3,953.2,946.7,1.1,7,0,2,5,2022,29.9831,102.9994,627.6,雅安,四川省,雅安市,雨城区,
56289,19,26.1,12.8,54.5,17,971,973.6,967.9,1,4.3,0,2,5,2022,30.1992,103.8692,435.9,彭山,四川省,眉山市,彭山区,
56381,17.9,24,12.6,43.8,25,949.2,951.6,946.5,1.7,8.8,0,2,5,2022,30.0678,103.4919,629.9,丹棱,四川省,眉山市,丹棱县,
56386,18.3,25.3,12.8,60,24,972.7,975.2,969.7,0.6,5.1,0,2,5,2022,29.5647,103.7553,424.2,乐山,四川省,乐山市,市中区,
56391,18.3,25.3,11.8,55.8,22,965.6,968.2,962.7,1.7,7.1,0,2,5,2022,30.0581,103.8758,484,眉山,四川省,眉山市,东坡区,
56394,16.9,25.2,10.7,67.8,29,977.3,979.9,974.2,1.4,5.7,0,2,5,2022,29.4578,104.4339,383.2,荣县国家站,四川省,自贡市,荣县,
57208,16.5,26.4,7.6,54.3,13,958.3,961,954.6,1.3,5.6,0,2,5,2022,32.2775,105.5128,545,剑阁,四川省,广元市,剑阁县,
56097,10.8,18.7,4.8,61.8,24,863.4,865.8,860,2.9,11.3,0,2,5,2022,33.2606,104.2456,1440.5,九寨沟,四川省,阿坝藏族羌族自治州,九寨沟县,
56158,5,12.3,0,42,14,675.6,677.8,673.2,4.1,14.9,0,2,5,2022,31.3858,100.6636,3414.4,炉霍,四川省,甘孜藏族自治州,炉霍县,
56181,15.4,25.1,8.6,72,22,959,961.3,956.3,1.5,5.9,0,2,5,2022,30.6708,103.6989,541.2,崇州,四川省,成都市,崇州市,
56284,15.9,25.3,9.2,71.8,19,961.5,964.2,958.6,0.9,5.9,0,2,5,2022,30.4433,103.4386,518.5,邛崃,四川省,成都市,邛崃市,
56288,16.9,26,10.6,68,20,964,966.5,961.2,0.8,5.6,0,2,5,2022,30.5886,103.9022,495,双流,四川省,成都市,双流区,
56290,17.4,25.7,10.9,57,22,961.7,964.3,959.1,1.3,6.1,0,2,5,2022,30.7778,104.1803,514.5,新都,四川省,成都市,新都区,
56473,16.9,23.5,11.3,46,22,902.7,906,897.8,1.6,7.1,0,2,5,2022,28.9597,102.7697,1060.3,甘洛,四川省,凉山彝族自治州,甘洛县,
56490,17.3,25.6,11.4,63,19,973.2,976.2,969.7,1.1,5.9,0,2,5,2022,28.9508,103.8983,424,沐川,四川省,乐山市,沐川县,
56671,11,16.5,6.3,66.3,38,823.5,825.3,820.7,3.5,10.8,3.2,2,5,2022,26.4619,102.3231,1811.4,会理,四川省,凉山彝族自治州,会理市,
56199,18.1,25.6,10.6,58.3,26,967.9,970.5,965.4,1.2,4.7,0,2,5,2022,31.0428,104.7058,459.6,中江,四川省,德阳市,中江县,
