区站号,平均气温,最高气温,最低气温,平均相对湿度,最小相对湿度,平均气压,最高本站气压,最低本站气压,平均2分钟风速,极大风速,20-20时降水量,日,月,年,纬度,经度,测站高度,站名,省名,地市名,区县名,Unnamed: 23
56285,22.2,28.6,16.7,56.3,27,948.5,949.7,946.6,1.6,8.6,0.3,29,4,2020,30.5639,103.4653,544.7,大邑国家基本气象站,四川省,成都市,大邑县,999999 未编报缺测
56443,12.8,16.9,9,48.5,25,722,723.6,719.7,3.2,10.7,0,29,4,2020,28.9333,99.8,2842,乡城,四川省,甘孜藏族自治州,乡城县,
56459,14,19.5,11.5,58.8,35,765.5,766.9,764.1,2.4,10.2,0,29,4,2020,27.9333,101.275,2426.5,木里,四川省,凉山彝族自治州,木里藏族自治县,
56475,16.8,23.1,10,65,37,832.9,834.3,830.1,1.1,6.1,0.8,29,4,2020,28.65,102.5167,1659.5,越西,四川省,凉山彝族自治州,越西县,
56494,22.9,31.4,15.8,49.5,26,965.6,967,963.3,1.9,7.7,0.1,29,4,2020,28.8394,104.3319,386.5,屏山,四川省,宜宾市,屏山县,
56575,18.6,24.6,15.6,51.8,31,847.6,849.1,846.1,1.7,11,0,29,4,2020,27.3731,102.5478,1530.7001,普格,四川省,凉山彝族自治州,普格县,
56674,19.7,24.3,17.4,57.5,30,871.9,873.4,870.2,2.1,11,0.1,29,4,2020,26.4947,101.7492,1280.6,仁和国家气象观测站,四川省,攀枝花市,仁和区,
56280,22,28.4,18.1,52.5,33,933,934.8,930.8,1.1,6.3,0,29,4,2020,30.0833,103.1167,691.3,名山,四川省,雅安市,名山区,
56371,17.8,23.6,15,61.5,29,856.6,858.2,853.2,3.3,14.9,3.9,29,4,2020,29.8878,102.2131,1403.2001,泸定,四川省,甘孜藏族自治州,泸定县,
56487,15.2,23.9,11.3,66,34,805.6,807,802.5,1.2,10,1.7,29,4,2020,28.3333,103.1333,1943.9,美姑,四川省,凉山彝族自治州,美姑县,
56499,22.4,32.2,16.4,62.3,26,967.3,968.8,964.5,1,4.9,0,29,4,2020,28.3833,104.7833,368.2,珙县,四川省,宜宾市,珙县,
56569,19.3,25.8,17,54.3,33,861.2,862.7,859.8,3.1,10.3,0,29,4,2020,27.4167,102.1833,1380,德昌,四川省,凉山彝族自治州,德昌县,
57206,21.3,31.5,13.4,46.5,16,949.1,951,945.8,1.4,8.4,0,29,4,2020,32.4244,105.8997,545.4,广元,四川省,广元市,利州区,
57324,17.7,23.7,13.3,77.8,47,969,970.2,967.7,1.8,5.7,0,29,4,2020,31.5833,107.0833,364.2,平昌,四川省,巴中市,平昌县,
57401,19.9,24.5,15.5,56.8,28,966.3,967.9,964.9,1.7,4.3,0,29,4,2020,30.8667,105.3667,383.3,射洪站,四川省,遂宁市,射洪市,
57415,24.1,31.4,17.8,46.5,22,964.9,966.3,963.4,2.6,6.7,0,29,4,2020,30.5333,106.6333,394.5,广安,四川省,广安市,广安区,
56284,22.2,29.2,17.4,50.5,20,951.5,952.7,949.5,1.2,6.2,0.1,29,4,2020,30.4433,103.4386,518.5,邛崃,四川省,成都市,邛崃市,
56288,21.6,28.3,16.4,61.3,28,954.1,955.2,952.2,0.7,3.6,1.8,29,4,2020,30.5833,103.9167,494.6,双流,四川省,成都市,双流区,
56290,22.3,27,18.7,43.8,20,952,953.1,950.2,1.1,3.5,0,29,4,2020,30.7778,104.1803,514.5,新都,四川省,成都市,新都区,
56473,20.1,26.4,17.5,56,28,894.5,896.2,890.7,1,9.9,2.1,29,4,2020,28.95,102.7667,1060.3,甘洛,四川省,凉山彝族自治州,甘洛县,
56584,21.9,27,18.2,38.8,24,889.5,891.2,887.5,2.7,7.8,0,29,4,2020,27.7,103.25,1093,金阳,四川省,凉山彝族自治州,金阳县,
56666,20.6,25.2,18,56.5,28,877.6,879.2,875.9,0.9,5.6,0.4,29,4,2020,26.5761,101.72,1224.8,攀枝花,四川省,攀枝花市,攀枝花市,
