lon,lat,dem,slope,temp,humidity,pressure,wind_speed,precip,Reff,pore_h,Fs,fs_score,slope_score,precip_score,elev_score,CRI,cluster_id,landslide_prob,risk_level
102.908166666667,32.1911666666666,2964.0,35.43037796,-3.8855020067826125,61.07406107286589,801.7239672837387,1.546603958727493,23.259419589541675,5.117072309699169,0.10234144586064571,1.129463196962395,0.44134491392039044,0.8476792653333334,0.33148548973854186,0.6,0.5447548798491979,0,0.44134491392039044,高风险(橙色预警)
102.914166666667,32.1821666666666,2990.0,36.00034332,-4.012681519700825,60.986782248114324,801.5184977281402,1.5405889211731818,23.459963426061933,5.161191953733625,0.10322383867733088,1.1162390603644958,0.4675674807653885,0.8666781106666667,0.3364990856515483,0.6,0.5609963371031317,4,0.4675674807653885,高风险(橙色预警)
102.920166666667,32.1791666666666,2897.0,36.2310791,-3.441421731645331,60.943394410961666,801.4127566908091,1.5378065323008012,23.09926530449204,5.081838366988249,0.10163676705067068,1.111453726605457,0.47710856096825527,0.8743693033333334,0.327481632612301,0.6,0.5649320767430956,4,0.47710856096825527,高风险(橙色预警)
102.923166666667,32.1791666666666,2951.0,39.55624771,-3.762219537327608,60.932500500343956,801.3860196425194,1.5371946613977787,23.34623245417673,5.13617113991888,0.10272342243857709,1.047152038444783,0.6041491707579788,0.985208257,0.33365581135441824,0.6,0.6446928948240751,4,0.6041491707579788,极高风险(红橙预警)
102.926166666667,32.1731666666666,2821.0,35.21983337,-2.967656866486159,60.882386208642025,801.2599137566418,1.533713913485002,22.828959474045902,5.022371084290099,0.1004474214594738,1.134835767798024,0.4307759151482081,0.8406611123333334,0.32072398685114756,0.6,0.536620441512846,4,0.4307759151482081,高风险(橙色预警)
102.941166666667,32.1671666666666,2934.0,37.48855972,-3.6232795697725795,60.79877212576303,801.0436771033766,1.5283764856489597,23.410417933830246,5.150291945442654,0.10300583852828067,1.084885093479104,0.5301930331376489,0.916285324,0.33526044834575613,0.6,0.5982006339242107,0,0.5301930331376489,高风险(橙色预警)
102.938166666667,32.1641666666666,2919.0,33.96207047,-3.530741382236261,60.78832373955577,801.0147599348619,1.5275063029078686,23.355087637028117,5.138119280146186,0.10276238524031982,1.1657514058428926,0.371447680901447,0.7987356823333334,0.3338771909257029,0.6,0.5050384311290528,0,0.371447680901447,高风险(橙色预警)
103.082166666667,32.1641666666666,2926.0,35.60633469,-3.6049086296586594,61.1742899351934,802.3263241186523,1.5622854803674855,23.048756502965468,5.070726430652403,0.10141452833676057,1.1255715990417432,0.44903442063862925,0.8535444896666665,0.3262189125741367,0.6,0.5482436731869457,0,0.44903442063862925,高风险(橙色预警)
102.947166666667,32.1491666666666,2972.0,40.13557816,-3.8241255960170086,60.68019921801266,800.7159864629347,1.5201677487854788,23.702680123354394,5.214589627137966,0.10429179205320568,1.0374117284573476,0.6226252699666477,1.0,0.34256700308385984,0.6,0.6575635086034309,0,0.6226252699666477,极高风险(红橙预警)
102.950166666667,32.1491666666666,2908.0,35.35465622,-3.4387253876363157,60.67351255975633,800.697337514625,1.5197797406958462,23.427544750214853,5.154059845047268,0.10308119651465002,1.1310816355586126,0.4381550486489612,0.8451552073333334,0.3356886187553713,0.6,0.5436885450439921,0,0.4381550486489612,高风险(橙色预警)
